City,SentimentRatio
ankara,0.4798206278026906
i̇zmir,0.38652482269503546
eskişehir,0.43209876543209874
adana,0.4915254237288136
bursa,0.41509433962264153
mersin,0.4322033898305085
yalova,0.75
denizli,0.8273381294964028
aydın,0.6097560975609756
tokat,0.5294117647058824
sakarya,0.47297297297297297
trabzon,0.6148148148148148
istanbul,0.418331374853114
muğla,0.5614035087719298
osmaniye,0.6666666666666666
balıkesir,0.5454545454545454
konya,0.6041666666666666
manisa,0.6428571428571429
sinop,0.5454545454545454
şanlıurfa,0.6764705882352942
ordu,0.5625
kütahya,0.6785714285714286
elazığ,0.8461538461538461
antalya,0.4921259842519685
samsun,0.43103448275862066
artvin,1.0
kayseri,0.5192307692307693
bolu,0.22857142857142856
kastamonu,0.5555555555555556
kocaeli,0.625
kahramanmaraş,0.7058823529411765
erzurum,0.782608695652174
mardin,0.7272727272727273
bingöl,0.6666666666666666
muş,0.8333333333333334
adıyaman,0.5
aksaray,0.7692307692307693
hatay,0.5294117647058824
gaziantep,0.62
malatya,0.8148148148148148
niğde,0.7
diyarbakır,0.5454545454545454
bitlis,0.4
afyonkarahisar,0.56
yozgat,0.7777777777777778
van,0.5
iğdır,1.0
sivas,0.4782608695652174
amasya,0.6
düzce,0.8571428571428571
bartın,0.3333333333333333
tekirdağ,0.38461538461538464
çanakkale,0.6086956521739131
batman,0.8333333333333334
rize,0.6
giresun,0.4117647058823529
karabük,1.0
kars,0.5714285714285714
çorum,0.45454545454545453
edirne,0.6111111111111112
siirt,0.6666666666666666
burdur,0.8461538461538461
erzincan,0.75
gümüşhane,0.8571428571428571
kırklareli,0.4
isparta,0.3333333333333333
bayburt,0.5
şırnak,0.7142857142857143
zonguldak,0.36363636363636365
ağrı,1.0
çankırı,0.75
kırşehir,1.0
uşak,0.4444444444444444
tunceli,0.75
bilecik,1.0
hakkari,1.0
nevşehir,0.2
karaman,0.5
kilis,0.2
kırıkkale,0.25
ardahan,0.5
